song_name,artist,hot
Paint The Town Red,Doja Cat,H
Snooze,SZA,H
Cruel Summer,Taylor Swift,H
Fast Car,Luke Combs,H
3D,Jung Kook & Jack Harlow,H
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,H
Last Night,Morgan Wallen,H
Fukumean,Gunna,H
Vampire,Olivia Rodrigo,H
Calm Down,Rema & Selena Gomez,H
Dance The Night,Dua Lipa,H
Barbie World,Nicki Minaj & Ice Spice With Aqua,H
Thinkin' Bout Me,Morgan Wallen,H
Greedy,Tate McRae,H
Flowers,Miley Cyrus,H
Religiously,Bailey Zimmerman,H
Need A Favor,Jelly Roll,H
Slime You Out,Drake Featuring SZA,H
Bad Idea Right?,Olivia Rodrigo,H
Anti-Hero,Taylor Swift,H
Watermelon Moonshine,Lainey Wilson,H
All My Life,Lil Durk Featuring J. Cole,H
Used To Be Young,Miley Cyrus,H
Kill Bill,SZA,H
Better Place,*NSYNC,H
Dial Drunk,Noah Kahan With Post Malone,H
What Was I Made For?,Billie Eilish,H
Good Good,"Usher, Summer Walker & 21 Savage",H
What It Is (Block Boy),Doechii Featuring Kodak Black,H
Rich Men North Of Richmond,Oliver Anthony Music,H
Karma,Taylor Swift Featuring Ice Spice,H
Creepin',"Metro Boomin, The Weeknd & 21 Savage",H
Daylight,David Kushner,H
Agora Hills,Doja Cat,H
I Know ?,Travis Scott,H
Try That In A Small Town,Jason Aldean,H
Save Me,Jelly Roll With Lainey Wilson,H
White Horse,Chris Stapleton,H
Peaches & Eggplants,Young Nudy Featuring 21 Savage,H
Meltdown,Travis Scott Featuring Drake,H
Great Gatsby,Rod Wave,H
Qlona,Karol G & Peso Pluma,H
Un Preview,Bad Bunny,H
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",H
Get Him Back!,Olivia Rodrigo,H
Bongos,Cardi B & Megan Thee Stallion,H
Hey Driver,Zach Bryan Featuring The War And Treaty,H
Single Soon,Selena Gomez,H
My Love Mine All Mine,Mitski,H
Boyz Don't Cry,Rod Wave,H
Lil Boo Thang,Paul Russell,H
Turks & Caicos,Rod Wave Featuring 21 Savage,H
Sarah's Place,Zach Bryan Featuring Noah Kahan,H
LaLa,Myke Towers,H
Mamaw's House,Thomas Rhett Featuring Morgan Wallen,H
Strangers,Kenya Grace,H
Seven,Jung Kook Featuring Latto,H
Lose Control,Teddy Swims,H
Call Your Friends,Rod Wave,H
Come See Me,Rod Wave,H
Everything I Love,Morgan Wallen,H
SkeeYee,Sexyy Red,H
Truck Bed,HARDY,H
Mi Ex Tenia Razon,Karol G,H
Tourniquet,Zach Bryan,H
Popular,"The Weeknd, Playboi Carti & Madonna",H
Water,Tyla,H
El Amor de Su Vida,Grupo Frontera & Grupo Firme,H
Segun Quien,Maluma & Carin Leon,H
500lbs,Lil Tecca,H
Deli,Ice Spice,H
Telekinesis,Travis Scott Featuring SZA & Future,H
All-American Bitch,Olivia Rodrigo,H
Oh U Went,Young Thug Featuring Drake,H
Standing Room Only,Tim McGraw,H
On My Mama,Victoria Monet,H
Sabor Fresa,Fuerza Regida,H
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",H
Tulum,Peso Pluma & Grupo Frontera,H
Stick Season,Noah Kahan,H
Can't Have Mine,Dylan Scott,H
Boys Of Faith,Zach Bryan Featuring Bon Iver,H
Shaq & Kobe,Rick Ross & Meek Mill,H
Pretty Little Poison,Warren Zeiders,H
Bipolar,Peso Pluma x Jasiel Nunez x Junior H,H
The Grudge,Olivia Rodrigo,H
HG4,Rod Wave,H
In Your Love,Tyler Childers,H
Stars Like Confetti,Dustin Lynch,H
God Gave Me A Girl,Russell Dickerson,H
Spotless,Zach Bryan Featuring The Lumineers,H
The Secret Recipe,Lil Yachty & J. Cole,H
Oklahoma Smoke Show,Zach Bryan,H
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,H
FE!N,Travis Scott Featuring Playboi Carti,H
Long Journey,Rod Wave,H
But I Got A Beer In My Hand,Luke Bryan,H
Rubicon,Peso Pluma,H
East Side Of Sorrow,Zach Bryan,H
Where She Goes,Bad Bunny,H
